title;IMAS
subtit;Índice de mercado dos títulos públicos atrelados a Selic
dfont;ANBIMA
vtype;perc
decimal;2
mult;1
divshow;1
group;1
yref;0
blk_dx;80
period;month
date_type;dd_mm_yyyy
;
;
;
;
;
data;begin
x;y
22/02/2007;1345.403301
23/02/2007;1346.05267
26/02/2007;1346.702187
27/02/2007;1347.352547
28/02/2007;1348.001668
01/03/2007;1348.652734
02/03/2007;1349.303163
05/03/2007;1349.955114
06/03/2007;1350.606658
07/03/2007;1351.25819
08/03/2007;1351.910028
09/03/2007;1352.551074
12/03/2007;1353.191964
13/03/2007;1353.833157
14/03/2007;1354.474033
15/03/2007;1355.114537
16/03/2007;1355.758293
19/03/2007;1356.401022
20/03/2007;1357.043708
21/03/2007;1357.688343
22/03/2007;1358.331234
23/03/2007;1358.975565
26/03/2007;1359.620382
27/03/2007;1360.267035
28/03/2007;1360.913686
29/03/2007;1361.558807
30/03/2007;1362.20772
02/04/2007;1362.854643
03/04/2007;1363.502643
04/04/2007;1364.149589
05/04/2007;1364.796218
09/04/2007;1365.440149
10/04/2007;1366.087586
11/04/2007;1366.734169
12/04/2007;1367.381709
13/04/2007;1368.027958
16/04/2007;1368.674886
17/04/2007;1369.322069
18/04/2007;1369.969761
19/04/2007;1370.61881
20/04/2007;1371.256048
23/04/2007;1371.893026
24/04/2007;1372.530975
25/04/2007;1373.167959
26/04/2007;1373.806201
27/04/2007;1374.444472
30/04/2007;1375.081827
02/05/2007;1375.721741
03/05/2007;1376.361592
04/05/2007;1377.000727
07/05/2007;1377.641073
08/05/2007;1378.280568
09/05/2007;1378.922882
10/05/2007;1379.563959
11/05/2007;1380.205243
14/05/2007;1380.847838
15/05/2007;1381.494344
16/05/2007;1382.136562
17/05/2007;1382.782926
18/05/2007;1383.427115
21/05/2007;1384.073639
22/05/2007;1384.719485
23/05/2007;1385.373198
24/05/2007;1386.014594
25/05/2007;1386.661656
28/05/2007;1387.307044
29/05/2007;1387.952183
30/05/2007;1388.59923
31/05/2007;1389.24447
01/06/2007;1389.891378
04/06/2007;1390.538626
05/06/2007;1391.185698
06/06/2007;1391.83059
08/06/2007;1392.47614
11/06/2007;1393.098653
12/06/2007;1393.720369
13/06/2007;1394.344263
14/06/2007;1394.965884
15/06/2007;1395.588981
18/06/2007;1396.211737
19/06/2007;1396.836716
20/06/2007;1397.460014
21/06/2007;1398.086588
22/06/2007;1398.711771
25/06/2007;1399.33718
26/06/2007;1399.963369
27/06/2007;1400.591347
28/06/2007;1401.216693
29/06/2007;1401.843617
02/07/2007;1402.469511
03/07/2007;1403.097187
04/07/2007;1403.722247
05/07/2007;1404.34885
06/07/2007;1404.97824
09/07/2007;1405.606195
10/07/2007;1406.237144
11/07/2007;1406.866006
12/07/2007;1407.495511
13/07/2007;1408.123628
16/07/2007;1408.754449
17/07/2007;1409.383465
18/07/2007;1410.012234
19/07/2007;1410.641344
20/07/2007;1411.244152
23/07/2007;1411.849165
24/07/2007;1412.460932
25/07/2007;1413.066332
26/07/2007;1413.673566
27/07/2007;1414.280316
30/07/2007;1414.888061
31/07/2007;1415.498934
01/08/2007;1416.107502
02/08/2007;1416.713701
03/08/2007;1417.317454
06/08/2007;1417.924844
07/08/2007;1418.532193
08/08/2007;1419.141138
09/08/2007;1419.748461
10/08/2007;1420.358476
13/08/2007;1420.976528
14/08/2007;1421.583973
15/08/2007;1422.193582
16/08/2007;1422.802126
17/08/2007;1423.406656
20/08/2007;1424.012873
21/08/2007;1424.620451
22/08/2007;1425.230248
23/08/2007;1425.838119
24/08/2007;1426.449491
27/08/2007;1427.059926
28/08/2007;1427.670507
29/08/2007;1428.281678
30/08/2007;1428.892475
31/08/2007;1429.509745
03/09/2007;1430.124455
04/09/2007;1430.742862
05/09/2007;1431.358716
06/09/2007;1431.976138
10/09/2007;1432.631364
11/09/2007;1433.229571
12/09/2007;1433.839301
13/09/2007;1434.433636
14/09/2007;1435.002366
17/09/2007;1435.607745
18/09/2007;1436.211509
19/09/2007;1436.809842
20/09/2007;1437.411762
21/09/2007;1438.015028
24/09/2007;1438.621565
25/09/2007;1439.224203
26/09/2007;1439.825639
27/09/2007;1440.476453
28/09/2007;1441.08677
01/10/2007;1441.721004
02/10/2007;1442.349442
03/10/2007;1442.969528
04/10/2007;1443.587745
05/10/2007;1444.197393
08/10/2007;1444.804003
09/10/2007;1445.412169
10/10/2007;1446.080288
11/10/2007;1446.766368
15/10/2007;1447.370104
16/10/2007;1448.023719
17/10/2007;1448.636218
18/10/2007;1449.247694
19/10/2007;1449.855003
22/10/2007;1450.458273
